iter	Passed	Remaining
911	10699	1032
912	10711	1020
913	10724	1009
914	10736	997
915	10747	985
916	10758	973
917	10769	961
918	10780	950
919	10791	938
920	10803	926
921	10814	914
922	10825	903
923	10836	891
924	10847	879
925	10859	867
926	10871	856
927	10884	844
928	10895	832
929	10907	820
930	10918	809
931	10929	797
932	10940	785
933	10952	773
934	10963	762
935	10974	750
936	10986	738
937	10999	727
938	11011	715
939	11023	703
940	11035	691
941	11046	680
942	11057	668
943	11068	656
944	11080	644
945	11092	633
946	11104	621
947	11116	609
948	11128	598
949	11139	586
950	11151	574
951	11164	562
952	11176	551
953	11188	539
954	11200	527
955	11211	516
956	11223	504
957	11234	492
958	11246	480
959	11258	469
960	11269	457
961	11281	445
962	11293	433
963	11305	422
964	11318	410
965	11330	398
966	11342	387
967	11354	375
968	11365	363
969	11377	351
970	11389	340
971	11400	328
972	11412	316
973	11424	304
974	11435	293
975	11447	281
976	11458	269
977	11470	258
978	11481	246
979	11493	234
980	11505	222
981	11517	211
982	11528	199
983	11548	187
984	11559	176
985	11569	164
986	11581	152
987	11592	140
988	11603	129
989	11615	117
990	11627	105
991	11639	93
992	11651	82
993	11664	70
994	11676	58
995	11688	46
996	11701	35
997	11713	23
998	11725	11
999	11736	0
